trip_id,date,mean_wind,inches_precip,trip_duration_minutes,trip_revenue,is_weekday
13453,2020-01-01,9.4,0.9,8.8,14,True
13454,2020-01-01,9.4,0.9,7.06,13,True
13455,2020-01-01,9.4,0.9,8.75,14,True
13456,2020-01-01,9.4,0.9,10.31,16,True
13457,2020-01-01,9.4,0.9,6.69,12,True
13458,2020-01-01,9.4,0.9,10.5,16,True
13459,2020-01-01,9.4,0.9,10.39,16,True
13460,2020-01-01,9.4,0.9,8.16,14,True
13461,2020-01-01,9.4,0.9,9.56,15,True
13462,2020-01-01,9.4,0.9,9.99,15,True
13463,2020-01-01,9.4,0.9,8.91,14,True
13464,2020-01-01,9.4,0.9,9.38,15,True
13465,2020-01-01,9.4,0.9,8.94,14,True
13466,2020-01-01,9.4,0.9,8.86,14,True
13467,2020-01-01,9.4,0.9,8.65,14,True
13468,2020-01-01,9.4,0.9,7.8,13,True
13469,2020-01-01,9.4,0.9,8.78,14,True
13470,2020-01-01,9.4,0.9,9.21,15,True
13471,2020-01-01,9.4,0.9,9.71,15,True
13472,2020-01-01,9.4,0.9,9.58,15,True
13473,2020-01-01,9.4,0.9,7.79,13,True
13474,2020-01-01,9.4,0.9,8.44,14,True
13475,2020-01-01,9.4,0.9,9.65,15,True
13476,2020-01-01,9.4,0.9,7.83,13,True
13477,2020-01-01,9.4,0.9,8.86,14,True
13478,2020-01-01,9.4,0.9,9.31,15,True
13479,2020-01-01,9.4,0.9,8.37,14,True
13480,2020-01-01,9.4,0.9,8.57,14,True
13481,2020-01-01,9.4,0.9,8.02,14,True
13482,2020-01-01,9.4,0.9,8.86,14,True
13483,2020-01-01,9.4,0.9,8.93,14,True
13484,2020-01-01,9.4,0.9,9.61,15,True
13485,2020-01-01,9.4,0.9,6.96,12,True
13486,2020-01-01,9.4,0.9,8.68,14,True
13487,2020-01-01,9.4,0.9,8.54,14,True
13488,2020-01-01,9.4,0.9,9.99,15,True
13489,2020-01-01,9.4,0.9,9.36,15,True
13490,2020-01-01,9.4,0.9,9.51,15,True
13491,2020-01-01,9.4,0.9,7.34,13,True
13492,2020-01-01,9.4,0.9,7.83,13,True
13493,2020-01-01,9.4,0.9,8.1,14,True
13494,2020-01-01,9.4,0.9,8.48,14,True
13495,2020-01-01,9.4,0.9,9.41,15,True
13496,2020-01-01,9.4,0.9,9.59,15,True
13497,2020-01-01,9.4,0.9,9.73,15,True
13498,2020-01-01,9.4,0.9,10.1,16,True
13499,2020-01-01,9.4,0.9,7.85,13,True
13500,2020-01-01,9.4,0.9,9.55,15,True
13501,2020-01-01,9.4,0.9,7.22,13,True
13502,2020-01-01,9.4,0.9,10.13,16,True
13503,2020-01-02,6.3,0.1,21.73,27,True
13504,2020-01-02,6.3,0.1,21.19,27,True
13505,2020-01-02,6.3,0.1,21.84,27,True
